Time (EET),EndTime,Open,High,Low,Close,Volume,EMA_20,EMA_50,RSI_14,ATR_14,VWAP,Fib_0_0,Fib_100_0,Fib_23_6,Fib_38_2,Fib_50_0,Fib_61_8,CDL_DOJI,CDL_HAMMER,CDL_ENGULFING
2020-01-02 01:00:04.735,2020-01-02 01:00:04.938,1518.768,1518.868,1518.768,1518.868,0.0011099999999999999,,,,,1518.868,,,,,,,0,0,0
2020-01-02 01:00:04.938,2020-01-02 01:00:05.238,1518.868,1518.9679999999998,1518.868,1518.9679999999998,0.00037,,,,,1518.8929999999998,,,,,,,0,0,0
2020-01-02 01:00:05.238,2020-01-02 01:00:05.924,1518.9679999999998,1519.0679999999998,1518.9679999999998,1519.0679999999998,0.00074,,,,,1518.9513333333332,,,,,,,0,0,0
2020-01-02 01:00:05.924,2020-01-02 01:00:06.414,1519.0679999999998,1519.1679999999997,1519.0679999999998,1519.1679999999997,0.00037,,,,,1518.9822857142856,,,,,,,0,0,0
2020-01-02 01:00:06.414,2020-01-02 01:00:06.414,1519.1679999999997,1519.2679999999996,1519.1679999999997,1519.2679999999996,0.0,,,,,1518.9822857142856,,,,,,,0,0,0
2020-01-02 01:00:06.414,2020-01-02 01:00:06.744,1519.2679999999996,1519.3679999999995,1519.2679999999996,1519.3679999999995,0.00037,,,,,1519.0304999999996,,,,,,,0,0,0
2020-01-02 01:00:06.744,2020-01-02 01:00:07.065,1519.3679999999995,1519.4679999999994,1519.3679999999995,1519.4679999999994,0.00037,,,,,1519.0791111111107,,,,,,,0,0,0
2020-01-02 01:00:07.065,2020-01-02 01:00:07.217,1519.4679999999994,1519.5679999999993,1519.4679999999994,1519.5679999999993,0.00037,,,,,1519.1279999999997,,,,,,,0,0,0
2020-01-02 01:00:07.217,2020-01-02 01:00:07.217,1519.5679999999993,1519.6679999999992,1519.5679999999993,1519.6679999999992,0.0,,,,,1519.1279999999997,,,,,,,0,0,0
2020-01-02 01:00:07.217,2020-01-02 01:00:07.217,1519.6679999999992,1519.7679999999991,1519.6679999999992,1519.7679999999991,0.0,,,,,1519.1279999999997,,,,,,,0,0,0
2020-01-02 01:00:07.217,2020-01-02 01:00:07.217,1519.7679999999991,1519.867999999999,1519.7679999999991,1519.867999999999,0.0,,,,,1519.1279999999997,,,,,,,0,0,0
2020-01-02 01:00:07.217,2020-01-02 01:00:08.183,1519.867999999999,1519.967999999999,1519.867999999999,1519.967999999999,0.0001,,,,,1519.1501052631577,,,,,,,0,0,0
2020-01-02 01:00:08.183,2020-01-02 01:00:08.183,1519.967999999999,1520.0679999999988,1519.967999999999,1520.0679999999988,0.0,,,,,1519.1501052631577,,,,,,,0,0,0
2020-01-02 01:00:08.183,2020-01-02 01:00:08.183,1520.0679999999988,1520.1679999999988,1520.0679999999988,1520.1679999999988,0.0,,,,,1519.1501052631577,,,,,,,0,0,0
2020-01-02 01:00:08.183,2020-01-02 01:00:08.183,1520.1679999999988,1520.2679999999987,1520.1679999999988,1520.2679999999987,0.0,,,100.0,0.09999999999990905,1519.1501052631577,,,,,,,0,0,0
2020-01-02 01:00:08.183,2020-01-02 01:00:08.183,1520.2679999999987,1520.3679999999986,1520.2679999999987,1520.3679999999986,0.0,,,100.0,0.09999999999990905,1519.1501052631577,,,,,,,0,0,0
2020-01-02 01:00:08.183,2020-01-02 01:00:08.183,1520.3679999999986,1520.4679999999985,1520.3679999999986,1520.4679999999985,0.0,,,100.0,0.09999999999990905,1519.1501052631577,,,,,,,0,0,0
2020-01-02 01:00:08.183,2020-01-02 01:00:08.183,1520.4679999999985,1520.5679999999984,1520.4679999999985,1520.5679999999984,0.0,,,100.0,0.09999999999990905,1519.1501052631577,,,,,,,0,0,0
2020-01-02 01:00:08.183,2020-01-02 01:00:08.183,1520.5679999999984,1520.6679999999983,1520.5679999999984,1520.6679999999983,0.0,,,100.0,0.09999999999990905,1519.1501052631577,,,,,,,0,0,0
2020-01-02 01:00:08.183,2020-01-02 01:00:08.687,1520.6679999999983,1520.6679999999983,1520.5679999999984,1520.5679999999984,0.0002,1519.8079999999993,,92.85714285714285,0.09999999999990905,1519.2209999999998,1518.768,1520.6679999999983,1519.2163999999996,1519.4937999999993,1519.7179999999992,1519.942199999999,0,0,0
2020-01-02 01:00:08.687,2020-01-02 01:00:08.687,1520.5679999999984,1520.5679999999984,1520.4679999999985,1520.4679999999985,0.0,1519.8708571428563,,86.22448979591837,0.09999999999990905,1519.2209999999998,1518.868,1520.6679999999983,1519.2927999999995,1519.5555999999992,1519.7679999999991,1519.980399999999,0,0,0
2020-01-02 01:00:08.687,2020-01-02 01:00:08.687,1520.4679999999985,1520.4679999999985,1520.3679999999986,1520.3679999999986,0.0,1519.9182040816318,,80.06559766763849,0.09999999999990905,1519.2209999999998,1518.9679999999998,1520.6679999999983,1519.3691999999994,1519.6173999999992,1519.817999999999,1520.018599999999,0,0,0
2020-01-02 01:00:08.687,2020-01-02 01:00:08.938,1520.3679999999986,1520.3679999999986,1520.2679999999987,1520.2679999999987,0.0001,1519.951517978619,,74.34662640566432,0.09999999999990905,1519.2465365853654,1519.0679999999998,1520.6679999999983,1519.4455999999993,1519.6791999999991,1519.867999999999,1520.056799999999,0,0,0
2020-01-02 01:00:08.938,2020-01-02 01:00:08.938,1520.2679999999987,1520.2679999999987,1520.1679999999988,1520.1679999999988,0.0,1519.9721353139885,,69.03615309097401,0.09999999999990905,1519.2465365853654,1519.1679999999997,1520.6679999999983,1519.5219999999993,1519.740999999999,1519.917999999999,1520.094999999999,0,0,0
2020-01-02 01:00:08.938,2020-01-02 01:00:08.938,1520.1679999999988,1520.1679999999988,1520.0679999999988,1520.0679999999988,0.0,1519.9812652840847,,64.10499929876158,0.09999999999990905,1519.2465365853654,1519.2679999999996,1520.6679999999983,1519.5983999999992,1519.802799999999,1519.967999999999,1520.1331999999989,0,0,0
2020-01-02 01:00:08.938,2020-01-02 01:00:08.989,1520.0679999999988,1520.0679999999988,1519.967999999999,1519.967999999999,0.0001,1519.9800019236955,,59.52607077742146,0.09999999999990905,1519.2637142857138,1519.3679999999995,1520.6679999999983,1519.674799999999,1519.864599999999,1520.017999999999,1520.1713999999988,0,0,0
2020-01-02 01:00:08.989,2020-01-02 01:00:08.989,1519.967999999999,1519.967999999999,1519.867999999999,1519.867999999999,0.0,1519.9693350738196,,55.27420857903422,0.09999999999990905,1519.2637142857138,1519.4679999999994,1520.6679999999983,1519.7511999999992,1519.926399999999,1520.0679999999988,1520.2095999999988,0,0,0
2020-01-02 01:00:08.989,2020-01-02 01:00:08.989,1519.867999999999,1519.867999999999,1519.7679999999991,1519.7679999999991,0.0,1519.9501603048843,,51.326050823388925,0.09999999999990905,1519.2637142857138,1519.5679999999993,1520.6679999999983,1519.8275999999992,1519.9881999999989,1520.1179999999988,1520.2477999999987,0,0,0
2020-01-02 01:00:08.989,2020-01-02 01:00:09.363,1519.7679999999991,1519.7679999999991,1519.6679999999992,1519.6679999999992,0.0002,1519.9232878948953,,47.65990433600399,0.09999999999990905,1519.2820909090904,1519.6679999999992,1520.6679999999983,1519.903999999999,1520.0499999999988,1520.1679999999988,1520.2859999999987,0,0,0
