Time (EET);EndTime;Open;High;Low;Close;Volume
2020-01-02 01:00:04.836;2020-01-02 01:00:04.836;1518.7;1518.8;1518.7;1518.8;0.00037
2020-01-02 01:00:04.938;2020-01-02 01:00:04.938;1518.8;1518.9;1518.8;1518.9;0.00037
2020-01-02 01:00:05.559;2020-01-02 01:00:05.559;1518.9;1519.0;1518.9;1519.0;0.00037
2020-01-02 01:00:06.414;2020-01-02 01:00:06.414;1519.0;1519.1;1519.0;1519.1;0.00037
2020-01-02 01:00:06.414;2020-01-02 01:00:06.414;1519.1;1519.2;1519.1;1519.2;0.00037
2020-01-02 01:00:06.744;2020-01-02 01:00:06.744;1519.2;1519.3;1519.2;1519.3;0.00037
2020-01-02 01:00:07.065;2020-01-02 01:00:07.065;1519.3;1519.4;1519.3;1519.4;0.00037
2020-01-02 01:00:07.065;2020-01-02 01:00:07.065;1519.4;1519.5;1519.4;1519.5;0.00037
2020-01-02 01:00:07.217;2020-01-02 01:00:07.217;1519.7;1519.8;1519.7;1519.8;0.00037
2020-01-02 01:00:07.217;2020-01-02 01:00:07.217;1519.8;1519.9;1519.8;1519.9;0.00037
2020-01-02 01:00:07.217;2020-01-02 01:00:07.217;1519.5;1519.6;1519.5;1519.6;0.00037
2020-01-02 01:00:07.217;2020-01-02 01:00:07.217;1519.6;1519.7;1519.6;1519.7;0.00037
2020-01-02 01:00:08.183;2020-01-02 01:00:08.183;1520.5;1520.6;1520.5;1520.6;0.0001
2020-01-02 01:00:08.183;2020-01-02 01:00:08.183;1520.4;1520.5;1520.4;1520.5;0.0001
2020-01-02 01:00:08.183;2020-01-02 01:00:08.183;1520.3;1520.4;1520.3;1520.4;0.0001
2020-01-02 01:00:08.183;2020-01-02 01:00:08.183;1519.9;1520.0;1519.9;1520.0;0.0001
2020-01-02 01:00:08.183;2020-01-02 01:00:08.183;1520.1;1520.2;1520.1;1520.2;0.0001
