Time (EET);EndTime;Open;High;Low;Close;Volume
2020-01-02 01:00:04.836;2020-01-02 01:00:04.836;1519.5;1519.6;1519.5;1519.6;0.00037
2020-01-02 01:00:04.836;2020-01-02 01:00:04.836;1519.6;1519.7;1519.6;1519.7;0.00037
2020-01-02 01:00:05.238;2020-01-02 01:00:05.238;1519.7;1519.8;1519.7;1519.8;0.00037
2020-01-02 01:00:05.238;2020-01-02 01:00:05.238;1519.8;1519.9;1519.8;1519.9;0.00037
2020-01-02 01:00:06.414;2020-01-02 01:00:06.414;1519.9;1520.0;1519.9;1520.0;0.00037
2020-01-02 01:00:06.414;2020-01-02 01:00:06.414;1520.0;1520.1;1520.0;1520.1;0.00037
2020-01-02 01:00:06.414;2020-01-02 01:00:06.414;1520.1;1520.2;1520.1;1520.2;0.00037
2020-01-02 01:00:07.065;2020-01-02 01:00:07.065;1520.2;1520.3;1520.2;1520.3;0.00037
2020-01-02 01:00:07.065;2020-01-02 01:00:07.065;1520.3;1520.4;1520.3;1520.4;0.00037
2020-01-02 01:00:07.217;2020-01-02 01:00:07.217;1520.7;1520.8;1520.7;1520.8;0.00037
2020-01-02 01:00:07.217;2020-01-02 01:00:07.217;1520.6;1520.7;1520.6;1520.7;0.00037
2020-01-02 01:00:07.217;2020-01-02 01:00:07.217;1520.4;1520.5;1520.4;1520.5;0.00037
2020-01-02 01:00:07.217;2020-01-02 01:00:07.217;1520.5;1520.6;1520.5;1520.6;0.00037
2020-01-02 01:00:08.183;2020-01-02 01:00:08.183;1521.1;1521.2;1521.1;1521.2;0.0001
2020-01-02 01:00:08.183;2020-01-02 01:00:08.183;1521.0;1521.1;1521.0;1521.1;0.0001
2020-01-02 01:00:08.183;2020-01-02 01:00:08.183;1520.8;1520.9;1520.8;1520.9;0.0001
2020-01-02 01:00:08.183;2020-01-02 01:00:08.183;1520.9;1521.0;1520.9;1521.0;0.0001
2020-01-02 01:00:08.687;2020-01-02 01:00:08.687;1521.2;1521.2;1521.1;1521.1;0.0001
2020-01-02 01:00:08.938;2020-01-02 01:00:08.938;1520.8;1520.8;1520.7;1520.7;0.0001
2020-01-02 01:00:08.938;2020-01-02 01:00:08.938;1520.9;1520.9;1520.8;1520.8;0.0001
2020-01-02 01:00:08.938;2020-01-02 01:00:08.938;1520.7;1520.7;1520.6;1520.6;0.0001
2020-01-02 01:00:08.938;2020-01-02 01:00:08.938;1521.1;1521.1;1521.0;1521.0;0.0001
2020-01-02 01:00:08.938;2020-01-02 01:00:08.938;1521.0;1521.0;1520.9;1520.9;0.0001
2020-01-02 01:00:08.989;2020-01-02 01:00:08.989;1520.6;1520.6;1520.5;1520.5;0.0001
2020-01-02 01:00:08.989;2020-01-02 01:00:08.989;1520.5;1520.5;1520.4;1520.4;0.0001
2020-01-02 01:00:08.989;2020-01-02 01:00:08.989;1520.4;1520.4;1520.3;1520.3;0.0001
2020-01-02 01:00:09.363;2020-01-02 01:00:09.363;1520.3;1520.3;1520.2;1520.2;0.0001
2020-01-02 01:00:09.741;2020-01-02 01:00:09.741;1520.1;1520.1;1520.0;1520.0;0.0001
2020-01-02 01:00:09.741;2020-01-02 01:00:09.741;1520.2;1520.2;1520.1;1520.1;0.0001
2020-01-02 01:00:10.254;2020-01-02 01:00:10.254;1520.0;1520.0;1519.9;1519.9;0.0001
2020-01-02 01:00:10.254;2020-01-02 01:00:10.254;1519.9;1519.9;1519.8;1519.8;0.0001
2020-01-02 01:00:10.254;2020-01-02 01:00:10.254;1519.8;1519.8;1519.7;1519.7;0.0001
2020-01-02 01:00:10.557;2020-01-02 01:00:10.557;1519.7;1519.7;1519.6;1519.6;0.0001
2020-01-02 01:00:10.615;2020-01-02 01:00:10.615;1519.6;1519.6;1519.5;1519.5;0.0001
2020-01-02 01:00:11.355;2020-01-02 01:00:11.355;1519.5;1519.6;1519.5;1519.6;0.0001
2020-01-02 01:00:11.355;2020-01-02 01:00:11.355;1519.6;1519.7;1519.6;1519.7;0.0001
2020-01-02 01:00:11.355;2020-01-02 01:00:11.355;1519.7;1519.8;1519.7;1519.8;0.0001
2020-01-02 01:00:12.525;2020-01-02 01:00:12.525;1519.8;1519.9;1519.8;1519.9;0.0001
2020-01-02 01:00:12.525;2020-01-02 01:00:12.525;1519.9;1520.0;1519.9;1520.0;0.0001
2020-01-02 01:00:13.435;2020-01-02 01:00:13.435;1520.0;1520.1;1520.0;1520.1;0.0001
2020-01-02 01:00:13.435;2020-01-02 01:00:13.435;1520.1;1520.2;1520.1;1520.2;0.0001
2020-01-02 01:00:13.632;2020-01-02 01:00:13.632;1520.2;1520.3;1520.2;1520.3;0.0001
2020-01-02 01:00:15.455;2020-01-02 01:00:15.455;1520.3;1520.3;1520.2;1520.2;0.0001
2020-01-02 01:00:15.555;2020-01-02 01:00:15.555;1520.2;1520.2;1520.1;1520.1;0.0001
2020-01-02 01:00:16.854;2020-01-02 01:00:16.854;1520.0;1520.0;1519.9;1519.9;0.0001
2020-01-02 01:00:16.854;2020-01-02 01:00:16.854;1520.1;1520.1;1520.0;1520.0;0.0001
2020-01-02 01:00:18.356;2020-01-02 01:00:18.356;1519.9;1520.0;1519.9;1520.0;0.0001
2020-01-02 01:00:21.235;2020-01-02 01:00:21.235;1520.0;1520.1;1520.0;1520.1;0.0001
2020-01-02 01:00:23.779;2020-01-02 01:00:23.779;1520.1;1520.2;1520.1;1520.2;0.0001
2020-01-02 01:00:25.240;2020-01-02 01:00:25.240;1520.2;1520.2;1520.1;1520.1;0.0001
2020-01-02 01:00:25.240;2020-01-02 01:00:25.240;1520.1;1520.1;1520.0;1520.0;0.0001
2020-01-02 01:00:27.157;2020-01-02 01:00:27.157;1520.0;1520.1;1520.0;1520.1;0.0001
2020-01-02 01:00:28.497;2020-01-02 01:00:28.497;1520.1;1520.2;1520.1;1520.2;0.0001
2020-01-02 01:00:31.189;2020-01-02 01:00:31.189;1520.2;1520.3;1520.2;1520.3;0.0001
2020-01-02 01:00:33.559;2020-01-02 01:00:33.559;1520.3;1520.4;1520.3;1520.4;0.0001
2020-01-02 01:00:36.249;2020-01-02 01:00:36.249;1520.4;1520.5;1520.4;1520.5;0.0001
2020-01-02 01:00:36.815;2020-01-02 01:00:36.815;1520.5;1520.6;1520.5;1520.6;0.0001
2020-01-02 01:00:38.705;2020-01-02 01:00:38.705;1520.6;1520.7;1520.6;1520.7;0.0001
2020-01-02 01:00:39.766;2020-01-02 01:00:39.766;1520.7;1520.8;1520.7;1520.8;0.0001
2020-01-02 01:00:41.795;2020-01-02 01:00:41.795;1520.8;1520.8;1520.7;1520.7;0.0001
2020-01-02 01:00:43.453;2020-01-02 01:00:43.453;1520.7;1520.7;1520.6;1520.6;0.0001
2020-01-02 01:00:51.954;2020-01-02 01:00:51.954;1520.6;1520.6;1520.5;1520.5;0.0001
2020-01-02 01:00:52.005;2020-01-02 01:00:52.005;1520.5;1520.5;1520.4;1520.4;0.0001
2020-01-02 01:00:52.005;2020-01-02 01:00:52.005;1520.4;1520.4;1520.3;1520.3;0.0001
2020-01-02 01:00:52.005;2020-01-02 01:00:52.005;1520.3;1520.3;1520.2;1520.2;0.0001
2020-01-02 01:00:57.865;2020-01-02 01:00:57.865;1520.2;1520.3;1520.2;1520.3;0.0001
2020-01-02 01:01:00.906;2020-01-02 01:01:00.906;1520.3;1520.3;1520.2;1520.2;0.0001
2020-01-02 01:01:02.463;2020-01-02 01:01:02.463;1520.2;1520.2;1520.1;1520.1;0.0001
2020-01-02 01:01:02.604;2020-01-02 01:01:02.604;1520.1;1520.2;1520.1;1520.2;0.0001
2020-01-02 01:01:05.927;2020-01-02 01:01:05.927;1520.2;1520.3;1520.2;1520.3;0.0001
