Time (EET);EndTime;Open;High;Low;Close;Volume;WickPrice;OppositeWickPrice 
2019.12.31 23:59:57.988;2020.01.02 01:00:04.421;1518,01;1518,02;1518,01;1518,02;0,00037;;
2020.01.02 01:00:04.422;2020.01.02 01:00:04.423;1518,02;1518,03;1518,02;1518,03;0;;
2020.01.02 01:00:04.424;2020.01.02 01:00:04.425;1518,03;1518,04;1518,03;1518,04;0;;
2020.01.02 01:00:04.426;2020.01.02 01:00:04.427;1518,04;1518,05;1518,04;1518,05;0;;
2020.01.02 01:00:04.428;2020.01.02 01:00:04.429;1518,05;1518,06;1518,05;1518,06;0;;
2020.01.02 01:00:04.430;2020.01.02 01:00:04.431;1518,06;1518,07;1518,06;1518,07;0;;
2020.01.02 01:00:04.432;2020.01.02 01:00:04.433;1518,07;1518,08;1518,07;1518,08;0;;
2020.01.02 01:00:04.434;2020.01.02 01:00:04.435;1518,08;1518,09;1518,08;1518,09;0;;
2020.01.02 01:00:04.436;2020.01.02 01:00:04.437;1518,09;1518,1;1518,09;1518,1;0;;
2020.01.02 01:00:04.438;2020.01.02 01:00:04.439;1518,1;1518,11;1518,1;1518,11;0;;
2020.01.02 01:00:04.440;2020.01.02 01:00:04.441;1518,11;1518,12;1518,11;1518,12;0;;
2020.01.02 01:00:04.442;2020.01.02 01:00:04.443;1518,12;1518,13;1518,12;1518,13;0;;
2020.01.02 01:00:04.444;2020.01.02 01:00:04.445;1518,13;1518,14;1518,13;1518,14;0;;
2020.01.02 01:00:04.446;2020.01.02 01:00:04.447;1518,14;1518,15;1518,14;1518,15;0;;
2020.01.02 01:00:04.448;2020.01.02 01:00:04.449;1518,15;1518,16;1518,15;1518,16;0;;
2020.01.02 01:00:04.450;2020.01.02 01:00:04.451;1518,16;1518,17;1518,16;1518,17;0;;
2020.01.02 01:00:04.452;2020.01.02 01:00:04.453;1518,17;1518,18;1518,17;1518,18;0;;
2020.01.02 01:00:04.454;2020.01.02 01:00:04.455;1518,18;1518,19;1518,18;1518,19;0;;
2020.01.02 01:00:04.456;2020.01.02 01:00:04.457;1518,19;1518,2;1518,19;1518,2;0;;
2020.01.02 01:00:04.458;2020.01.02 01:00:04.459;1518,2;1518,21;1518,2;1518,21;0;;
2020.01.02 01:00:04.460;2020.01.02 01:00:04.461;1518,21;1518,22;1518,21;1518,22;0;;
2020.01.02 01:00:04.462;2020.01.02 01:00:04.463;1518,22;1518,23;1518,22;1518,23;0;;
2020.01.02 01:00:04.464;2020.01.02 01:00:04.465;1518,23;1518,24;1518,23;1518,24;0;;
2020.01.02 01:00:04.466;2020.01.02 01:00:04.467;1518,24;1518,25;1518,24;1518,25;0;;
2020.01.02 01:00:04.468;2020.01.02 01:00:04.469;1518,25;1518,26;1518,25;1518,26;0;;
2020.01.02 01:00:04.470;2020.01.02 01:00:04.471;1518,26;1518,27;1518,26;1518,27;0;;
2020.01.02 01:00:04.472;2020.01.02 01:00:04.473;1518,27;1518,28;1518,27;1518,28;0;;
2020.01.02 01:00:04.474;2020.01.02 01:00:04.475;1518,28;1518,29;1518,28;1518,29;0;;
2020.01.02 01:00:04.476;2020.01.02 01:00:04.477;1518,29;1518,3;1518,29;1518,3;0;;
2020.01.02 01:00:04.478;2020.01.02 01:00:04.479;1518,3;1518,31;1518,3;1518,31;0;;
2020.01.02 01:00:04.480;2020.01.02 01:00:04.481;1518,31;1518,32;1518,31;1518,32;0;;
2020.01.02 01:00:04.482;2020.01.02 01:00:04.483;1518,32;1518,33;1518,32;1518,33;0;;
2020.01.02 01:00:04.484;2020.01.02 01:00:04.485;1518,33;1518,34;1518,33;1518,34;0;;
2020.01.02 01:00:04.486;2020.01.02 01:00:04.487;1518,34;1518,35;1518,34;1518,35;0;;
