Time (EET);Ask;Bid;AskVolume;BidVolume
2024.01.02 01:00:00.312;2064,562;2062,598;0,00022;0,00022
2024.01.02 01:00:01.170;2064,805;2062,875;0,00045;0,00045
2024.01.02 01:00:01.321;2064,716;2062,875;0,00027;0,00045
2024.01.02 01:00:01.423;2064,565;2062,655;0,00045;0,00045
2024.01.02 01:00:01.524;2064,565;2062,714;0,00045;0,00027
2024.01.02 01:00:01.675;2064,666;2062,815;0,00027;0,00045
2024.01.02 01:00:01.776;2064,705;2062,815;0,00045;0,00045
2024.01.02 01:00:02.178;2064,675;2062,805;0,00045;0,00045
2024.01.02 01:00:02.932;2064,745;2062,875;0,00045;0,00045
2024.01.02 01:00:04.286;2064,745;2062,865;0,00045;0,00045
2024.01.02 01:00:04.538;2064,635;2062,785;0,00045;0,00045
2024.01.02 01:00:06.543;2064,635;2062,765;0,00045;0,00045
2024.01.02 01:00:06.844;2064,575;2062,745;0,00045;0,00045
2024.01.02 01:00:07.195;2064,535;2062,705;0,00045;0,00045
2024.01.02 01:00:08.249;2064,515;2062,685;0,00045;0,00045
2024.01.02 01:00:10.307;2064,495;2062,685;0,00045;0,00045
2024.01.02 01:00:10.508;2064,296;2062,685;0,00036;0,00045
2024.01.02 01:00:10.559;2064,195;2062,405;0,00045;0,00045
2024.01.02 01:00:11.713;2064,205;2062,435;0,00045;0,00045
2024.01.02 01:00:14.422;2064,205;2062,455;0,00045;0,00045
2024.01.02 01:00:15.075;2064,205;2062,465;0,00045;0,00045
2024.01.02 01:00:16.230;2064,205;2062,435;0,00045;0,00045
2024.01.02 01:00:16.983;2064,095;2062,405;0,00045;0,00045
2024.01.02 01:00:17.436;2064,075;2062,445;0,00045;0,00045
2024.01.02 01:00:17.687;2064,135;2062,445;0,00045;0,00045
2024.01.02 01:00:18.040;2064,175;2062,505;0,00045;0,00045
2024.01.02 01:00:19.194;2064,235;2062,585;0,00045;0,00045
2024.01.02 01:00:19.847;2064,255;2062,815;0,00045;0,00045
2024.01.02 01:00:20.902;2064,325;2062,925;0,00045;0,00045
2024.01.02 01:00:21.153;2064,675;2062,945;0,00045;0,00045
2024.01.02 01:00:26.429;2065,275;2063,315;0,00045;0,00045
2024.01.02 01:00:28.288;2065,186;2063,225;0,00036;0,00045
2024.01.02 01:00:28.590;2064,995;2062,995;0,00045;0,00045
2024.01.02 01:00:29.294;2065,025;2063,065;0,00045;0,00045
2024.01.02 01:00:30.098;2064,995;2063,005;0,00045;0,00045
2024.01.02 01:00:30.500;2065,015;2063,045;0,00045;0,00045
2024.01.02 01:00:31.053;2065,155;2063,225;0,00045;0,00045
2024.01.02 01:00:31.405;2065,245;2063,315;0,00045;0,00045
2024.01.02 01:00:32.360;2065,645;2064,505;0,00045;0,00045
2024.01.02 01:00:33.363;2065,645;2064,525;0,00045;0,00045
2024.01.02 01:00:33.866;2065,525;2064,525;0,00045;0,00045
2024.01.02 01:00:34.268;2065,625;2064,525;0,00045;0,00045
2024.01.02 01:00:38.788;2065,145;2063,155;0,00045;0,00045
2024.01.02 01:00:39.492;2065,105;2063,105;0,00045;0,00045
2024.01.02 01:00:42.498;2065,125;2063,125;0,00045;0,00045
2024.01.02 01:00:44.803;2065,085;2063,095;0,00045;0,00045
2024.01.02 01:00:46.207;2064,955;2063,045;0,00045;0,00045
2024.01.02 01:00:46.860;2064,995;2063,095;0,00045;0,00045
2024.01.02 01:00:47.011;2064,886;2063,095;0,00036;0,00045
2024.01.02 01:00:47.512;2064,795;2062,885;0,00045;0,00045
2024.01.02 01:00:47.915;2064,895;2063,015;0,00045;0,00045
2024.01.02 01:00:48.617;2064,875;2063,165;0,00045;0,00045
2024.01.02 01:00:49.822;2064,675;2063,195;0,00045;0,00045
2024.01.02 01:00:50.124;2064,705;2063,215;0,00045;0,00045
2024.01.02 01:00:50.727;2064,705;2063,285;0,00045;0,00045
2024.01.02 01:00:51.078;2064,755;2063,375;0,00045;0,00045
2024.01.02 01:00:51.531;2065,165;2064,525;0,00045;0,00045
2024.01.02 01:00:51.833;2065,015;2063,545;0,00045;0,00045
2024.01.02 01:00:52.135;2065,165;2064,525;0,00045;0,00045
2024.01.02 01:00:53.038;2065,185;2064,525;0,00045;0,00045
2024.01.02 01:00:53.440;2065,165;2064,525;0,00045;0,00045
2024.01.02 01:00:53.942;2065,175;2064,515;0,00045;0,00045
2024.01.02 01:00:54.194;2065,175;2064,495;0,00045;0,00045
2024.01.02 01:00:54.295;2065,095;2063,485;0,00045;0,00045
2024.01.02 01:00:54.848;2065,165;2064,525;0,00045;0,00045
2024.01.02 01:00:55.299;2065,235;2064,525;0,00045;0,00045
2024.01.02 01:00:55.501;2065,155;2063,445;0,00045;0,00045
2024.01.02 01:00:55.552;2065,175;2064,525;0,00045;0,00045
2024.01.02 01:00:56.606;2065,195;2064,525;0,00045;0,00045
2024.01.02 01:00:56.908;2065,185;2064,525;0,00045;0,00045
2024.01.02 01:00:59.568;2065,185;2064,235;0,00045;0,00045
2024.01.02 01:01:00.121;2065,185;2063,795;0,00045;0,00045
2024.01.02 01:01:00.523;2065,105;2063,495;0,00045;0,00045
2024.01.02 01:01:00.775;2065,205;2063,595;0,00045;0,00045
2024.01.02 01:01:01.077;2065,146;2063,595;0,00036;0,00045
2024.01.02 01:01:01.278;2065,045;2063,435;0,00045;0,00045
2024.01.02 01:01:01.630;2065,085;2063,475;0,00045;0,00045
2024.01.02 01:01:02.340;2065,085;2063,525;0,00045;0,00045
2024.01.02 01:01:02.792;2065,135;2063,545;0,00045;0,00045
2024.01.02 01:01:03.345;2065,175;2063,565;0,00045;0,00045
2024.01.02 01:01:03.848;2065,125;2063,505;0,00045;0,00045
2024.01.02 01:01:04.400;2065,115;2063,505;0,00045;0,00045
2024.01.02 01:01:05.003;2065,095;2063,485;0,00045;0,00045
2024.01.02 01:01:05.908;2065,095;2063,745;0,00045;0,00045
2024.01.02 01:01:06.511;2065,285;2063,675;0,00045;0,00045
2024.01.02 01:01:07.113;2065,205;2063,595;0,00045;0,00045
2024.01.02 01:01:10.121;2065,215;2063,605;0,00045;0,00045
2024.01.02 01:01:12.426;2065,195;2063,585;0,00045;0,00045
2024.01.02 01:01:15.234;2065,195;2063,635;0,00045;0,00045
2024.01.02 01:01:16.236;2065,245;2063,715;0,00045;0,00045
2024.01.02 01:01:17.389;2065,285;2063,715;0,00045;0,00045
