Time (EET);Ask;Bid;AskVolume;BidVolume
2020.01.02 01:00:15.273;1520,295;1519,785;0,0001;0,0001
2020.01.02 01:00:15.324;1520,285;1519,785;0,0001;0,0001
2020.01.02 01:00:15.455;1520,165;1519,655;0,0001;0,0001
2020.01.02 01:00:15.555;1520,085;1519,585;0,0001;0,0001
2020.01.02 01:00:15.656;1520,075;1519,585;0,0001;0,0001
2020.01.02 01:00:15.822;1520,085;1519,595;0,0001;0,0001
2020.01.02 01:00:15.872;1520,045;1519,545;0,0001;0,0001
2020.01.02 01:00:15.986;1520,105;1519,605;0,0001;0,0001
2020.01.02 01:00:16.390;1520,075;1519,575;0,0001;0,0001
2020.01.02 01:00:16.568;1520,045;1519,545;0,0001;0,0001
2020.01.02 01:00:16.618;1520,055;1519,545;0,0001;0,0001
2020.01.02 01:00:16.668;1520,045;1519,535;0,0001;0,0001
2020.01.02 01:00:16.854;1519,865;1519,385;0,0001;0,0001
2020.01.02 01:00:17.283;1519,885;1519,385;0,0001;0,0001
2020.01.02 01:00:17.340;1519,885;1519,355;0,0001;0,0001
2020.01.02 01:00:17.390;1519,825;1519,335;0,0001;0,0001
2020.01.02 01:00:17.686;1519,825;1519,345;0,0001;0,0001
2020.01.02 01:00:17.786;1519,825;1519,335;0,0001;0,0001
2020.01.02 01:00:17.973;1519,825;1519,375;0,0001;0,0001
2020.01.02 01:00:18.023;1519,915;1519,425;0,0001;0,0001
2020.01.02 01:00:18.124;1519,915;1519,455;0,0001;0,0001
2020.01.02 01:00:18.175;1519,945;1519,455;0,0001;0,0001
2020.01.02 01:00:18.356;1520,005;1519,505;0,0001;0,0001
2020.01.02 01:00:19.116;1520,025;1519,535;0,0001;0,0001
2020.01.02 01:00:20.075;1520,095;1519,595;0,0001;0,0001
2020.01.02 01:00:20.125;1519,975;1519,475;0,0001;0,0001
2020.01.02 01:00:20.226;1520,045;1519,555;0,0001;0,0001
2020.01.02 01:00:21.084;1520,045;1519,415;0,0001;0,0001
2020.01.02 01:00:21.134;1519,915;1519,415;0,0001;0,0001
2020.01.02 01:00:21.235;1520,125;1519,625;0,0001;0,0001
2020.01.02 01:00:21.345;1520,155;1519,655;0,0001;0,0001
2020.01.02 01:00:22.955;1520,165;1519,675;0,0001;0,0001
